continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
,,,,,,,,,,,,Few,Some,Many,Half,All,Most,None,More than half,Less than half,0.427777797,0.271296293,1,0,0,QQQ1,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,140,1,339,ratio19_1_10_1.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Less than half,None,Half,Most,Many,Few,All,0.469444465,0.332407405,1,0,0,QQQ1,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,294,1,339,ratio43_8_14_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,All,Most,Less than half,Few,Half,Some,More than half,0.100925941,0.287037034,1,0,0,QQQ4,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,206,1,339,ratio31_6_8_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,Some,Less than half,All,None,Most,Many,More than half,-0.513888883,-0.015740748,1,0,0,QQQ8,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,172,1,339,ratio21_8_12_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,Most,More than half,All,None,Half,Some,Less than half,0.400925945,-0.27314816,1,0,0,QQQ3,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,331,1,339,ratio91_18_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,All,Few,Many,More than half,Some,Less than half,Half,0.060185199,-0.312037106,1,0,0,QQQ6,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,232,1,339,ratio32_9_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Some,Most,All,Many,Half,Less than half,More than half,0.013888902,0.268518515,1,0,0,QQQ4,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,271,1,339,ratio41_12_15_6.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Some,Half,Less than half,More than half,Many,Most,All,Few,-0.571296292,-0.314814827,1,0,0,QQQ9,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,1,1,339,ratio12_1_3_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,Many,Half,Most,None,All,Less than half,More than half,0.449074094,0.256481478,1,0,0,QQQ1,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,113,1,339,ratio14_3_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Few,Many,None,More than half,Most,All,Half,Some,0.000925939,-0.034259267,1,0,0,QQQ5,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,171,1,339,ratio21_8_12_4.png,,,,,,,,,,,,
